date,M0_raw_spread_h3,M1_slope_h3,M2_slope_curv_h3,M3_full_ns_h3,M4_db1_b2_b3_h3,M0_raw_spread_h6,M1_slope_h6,M2_slope_curv_h6,M3_full_ns_h6,M4_db1_b2_b3_h6,M0_raw_spread_h12,M1_slope_h12,M2_slope_curv_h12,M3_full_ns_h12,M4_db1_b2_b3_h12
1970-02-01,0.2691125118010569,0.2634668064704524,0.24394319166461603,0.10616321161246567,0.25167212432992897,0.3086023163217961,0.3008560978117137,0.22632874175653378,0.09645771328903036,0.21667757966539442,0.3591168451427148,0.3468529416160233,0.25336210513999796,0.17207925859369017,0.2474617089158636
1970-03-01,0.22919009351330744,0.2242270771608365,0.2075097030696486,0.10092769160429144,0.19781877194029918,0.25102226233822833,0.24417577034766969,0.1822950469058498,0.08652600159028911,0.19146317835413923,0.27512662136191435,0.2647177980599807,0.19012733068595145,0.1351925165302187,0.19608391541554882
1970-04-01,0.25919320808638235,0.2519446933697004,0.22782763901833786,0.09806258727759654,0.2171474966882353,0.2942225773867911,0.2841208341705823,0.19500571774017306,0.08028134044358087,0.20467749029635668,0.3380590715548407,0.3224799247291848,0.21222485915803707,0.14238986302983592,0.21874848657772922
1970-05-01,0.2226271022096814,0.21907894075374085,0.20675424565023692,0.14378197919586244,0.18434336475776641,0.24165652388317777,0.2368229972617047,0.1902370667289045,0.13107796233874763,0.21494957637584955,0.26161718193739814,0.25419614483226965,0.19820143378984828,0.16908945265656744,0.2134916085256191
1970-06-01,0.23304135393246794,0.22657726725308075,0.20531887726151243,0.09457539322396025,0.22633972272335046,0.25653474689425415,0.2475404352492458,0.17050792023542394,0.07530998797326542,0.14956411012204351,0.28310723050014347,0.26954703282778353,0.17679141593139858,0.12218612695247616,0.1640127735751319
1970-07-01,0.21833378459862685,0.2111888361953383,0.1882449612996045,0.07369968311744006,0.19668229254987535,0.2355506653244237,0.2256050994057534,0.14524386066959843,0.05338846639165905,0.13621478997145858,0.25284831134998026,0.23823840948201142,0.1439654836962681,0.09114224233366536,0.1389063789054999
1970-08-01,0.1926797109294358,0.18693763875851105,0.16860896065933634,0.07991449714810217,0.1598721873421159,0.19948639899838683,0.191594520602677,0.12867375329937158,0.05832307779985038,0.13612708876393376,0.20187711517020807,0.19077306494930696,0.12029189746397889,0.08414430037412896,0.1248943776496449
1970-09-01,0.18171077026826132,0.17676632634283979,0.16098412431925108,0.08083651621752991,0.1626180659652438,0.18433398112724542,0.17758606131504878,0.12369341735459138,0.059952537037712125,0.12126846660402463,0.18100894083505054,0.17174090431421762,0.1128051427206278,0.08140789886734318,0.11173288963766237
1970-10-01,0.15384828523829336,0.14969936138409295,0.13675127084984334,0.0775955447821209,0.1307608120903453,0.14679600886097954,0.14126163998903268,0.09917135682931927,0.05485124431276439,0.10401862434648251,0.13129798201796444,0.12433664721172866,0.08211413628146247,0.06371085529376407,0.0848960999712205
1970-11-01,0.1094408063756252,0.10735981249671006,0.10120162321692017,0.07067221125627322,0.10617625992404184,0.09089886287563465,0.08824350675843501,0.06983606788696335,0.049052927983096996,0.06547155629599621,0.06508419665873645,0.06247776209846356,0.047846963116744315,0.04249108015787216,0.04602071561606145
