,M0_raw_spread_h3,M0_raw_spread_h6,M0_raw_spread_h12,M1_slope_h3,M1_slope_h6,M1_slope_h12,M2_slope_curv_h3,M2_slope_curv_h6,M2_slope_curv_h12,M3_full_ns_h3,M3_full_ns_h6,M3_full_ns_h12,M4_db1_b2_b3_h3,M4_db1_b2_b3_h6,M4_db1_b2_b3_h12
1977-12-01,0.0722654395401263,0.000781291839698927,0.09946878519808727,0.07799659980592548,0.0002877145285518595,0.09964718097341302,0.08909167391477418,0.00024296542620491946,0.1652434279192998,0.17028496759387907,0.00029660140462707334,4.498457485137944e-28,0.06484745183493959,0.0001359180925054957,0.19535897416309222
1978-01-01,0.09974483776445914,0.00301369356450866,0.11901032202275696,0.10711335252101772,0.001467558287846136,0.11994981895455442,0.1196164691456078,0.0014802216777871449,0.19161679655461616,0.2473906072999898,0.002291591011668019,5.408741575775246e-30,0.09715940475857404,0.0007981381045463637,0.21156655064017915
1978-02-01,0.09444360268250684,0.0027583360223142677,0.11707110655906428,0.09937946811452208,0.0012038972041192007,0.11666210396298116,0.10746923450516033,0.000885636709665122,0.15920895877676983,0.25088084572337976,0.0015614179883918515,9.219417415685025e-37,0.10721767433287366,0.00016115182136864175,0.1521389607864207
1978-03-01,0.1104541128646449,0.005153904487692991,0.12793803689020583,0.11562670424297167,0.0025429144949310253,0.12769322946889672,0.12341994257981759,0.0019711852644140725,0.1679433941452642,0.2948860962398357,0.0038612010901133125,6.792515632254241e-39,0.11259623624134368,0.0006983321033266557,0.17221087967553278
1978-04-01,0.17536587013842064,0.025678277850057017,0.16502999726673662,0.18062910287464667,0.01693311109995463,0.1650646121265662,0.18765393389404172,0.014321198601902159,0.19291693922418723,0.4056070828481759,0.028017097514625968,2.956130795763299e-37,0.18695721767293932,0.006214885720283743,0.18710602789760744
1978-05-01,0.20526710625244765,0.04433900127644327,0.181037211857552,0.208567378990955,0.03117276998242281,0.18034995561224693,0.21304685011833463,0.02449208589631479,0.18750711931350067,0.46799295497512083,0.052555693105040005,3.2448014707216682e-43,0.19687916157147434,0.016393066150835574,0.19343838473986447
1978-06-01,0.3694409046941224,0.24928823957878926,0.2592594928436066,0.37182446352589327,0.23355304260196774,0.26001292594857484,0.3742760253233477,0.2242029597516994,0.2504754872233499,0.6722677111225941,0.38440822753802295,2.046064770023534e-40,0.34787252009553415,0.23227878095895332,0.2622142239417756
1978-07-01,0.38303192076356085,0.2807911197545413,0.2666839724570176,0.3840988026098627,0.26556749608131436,0.26709231183984483,0.3851656275291361,0.25120070042525827,0.2480844746267093,0.6406580842893062,0.41045257982446476,1.1279822495827297e-37,0.431369768660935,0.153766588624912,0.21362022204002018
1978-08-01,0.5381763351810668,0.5953185489236722,0.34091229601059303,0.5396936749356255,0.6162319225934288,0.3438414196203213,0.5401861940329944,0.636959393444955,0.32275817997769585,0.7246110284783569,0.7854472098406418,4.1115112045285983e-25,0.6070622396144449,0.5166064361956045,0.26987265824612683
1978-09-01,0.6316660322345555,0.7798171041736535,0.39221135055519085,0.6397297846104877,0.8234341178342652,0.40055983243183557,0.6446339499188423,0.87953925243261,0.43075303035143275,0.7759728054917563,0.9547711398143597,7.64446863965069e-22,0.5848258649484122,0.9481056745743881,0.4731326559644511
1978-10-01,0.9499525878400776,0.9997545793507882,0.6696300237750755,0.9488270388729684,0.9999488877458671,0.6783358122823012,0.9469347298585398,0.9999865811662972,0.6042948089589825,0.9766877955379532,0.9999996922679174,2.4453574952254853e-18,0.9412469011006868,0.9999992918718221,0.6153751282317144
1978-11-01,0.9785070760530928,0.9999948861754278,0.7503420838339177,0.979157224246211,0.9999996708705481,0.7640963921245292,0.9790359841345619,0.999999987531729,0.7580224602441865,0.9871032219094626,0.9999999998740855,2.3326202094554466e-07,0.9827583326390986,0.9999999992421801,0.7269944626260177
1978-12-01,0.9914611438357029,0.999999968164316,0.8238265710206956,0.9911226894682712,0.9999999993059786,0.8332270327926969,0.9906408936241884,0.9999999999858142,0.7722188962894091,0.992519511629279,0.9999999999974722,1.9203772111039246e-10,0.9914519783711019,0.9999999999999235,0.7616177069331254
