date,b1,b2,b3,rmse,n_obs,lam
1970-01-01,6.283215805665245,-1.4049040221388909,4.435985075901877,0.07274058737352564,6,0.4
1970-02-01,6.095751327295168,-0.6829471598218457,2.891429897989912,0.031152522552330125,6,0.4
1970-03-01,6.3676354053345126,-0.10365910768084086,2.738889828155845,0.043731043085660816,6,0.4
1970-04-01,6.648849456380751,-0.517951516937913,3.8052288442787052,0.11055947998480818,6,0.4
1970-05-01,7.3054598502481065,-0.02361823942447372,1.9561328915065763,0.09410268986019112,6,0.4
1970-06-01,6.713885373202359,-0.13985104735242748,3.5710700296189097,0.06438515741570607,6,0.4
1970-07-01,6.438519964376535,0.10118622303791946,4.1052081162047385,0.029592256951489704,6,0.4
1970-08-01,6.692085260496704,0.5031009289615326,3.5172583771479906,0.06589103075986825,6,0.4
1970-09-01,6.608545856050582,0.6811905808779635,3.1156109251479207,0.09799278212035054,6,0.4
1970-10-01,6.791544234877444,1.189577076972054,2.8768589094937793,0.09666970755866693,6,0.4
1970-11-01,6.519236866028341,2.127934427995968,1.7149156242686912,0.08580338362458294,6,0.4
1970-12-01,6.533040029803084,2.248863910288835,1.8289551680858658,0.08047683749195099,6,0.4
1971-01-01,5.992171104651756,2.7969395091292837,3.4926387269642145,0.029033435764788784,6,0.4
1971-02-01,6.544741084640135,3.8220357738126642,1.8458902858670188,0.061928868163797134,6,0.4
1971-03-01,6.147231827821936,2.793310197794786,0.3568074704629908,0.03492597082120632,6,0.4
1971-04-01,5.847531520725375,1.9428871464305768,3.5475225533063384,0.05019731596126251,6,0.4
1971-05-01,6.130057375780498,1.7918510037042505,3.0252081769594934,0.02179850408836054,6,0.4
1971-06-01,6.064728698251463,0.43166030682120704,3.423282259952909,0.03530869798701249,6,0.4
1971-07-01,6.007183043874958,0.5829693702753954,4.1817728972683215,0.02741888062780895,6,0.4
1971-08-01,6.038108108540023,1.3604017138812792,2.196120716836185,0.04892586736833757,6,0.4
1971-09-01,5.805491495287852,1.0882094522281511,2.2867142381962635,0.03820716045298109,6,0.4
1971-10-01,5.805580420147122,1.9061936267485171,2.471473243383302,0.05011275744467852,6,0.4
1971-11-01,5.882153962638858,1.8650435716353448,2.4831381945083155,0.06900099853442673,6,0.4
1971-12-01,6.122786167179991,2.31504849062359,1.4681839245359602,0.051558448332987554,6,0.4
1972-01-01,6.085231647764754,2.642997494125373,2.852091941882496,0.03567977798348278,6,0.4
1972-02-01,6.046238455490291,2.5775885785570556,2.644132010990295,0.02848221185617368,6,0.4
